word,start,end
one,77.34,77.6
horse,77.6,77.98
and,77.98,78.94
wouldn't,78.94,79.12
even,79.12,79.28
do,79.28,79.44
anything,79.44,79.82
for,79.82,80.22
him,80.22,80.5
yes,82.6,82.84
you,82.96,83.08
might,83.08,83.26
get,83.26,83.48
more,83.48,84.3
good,84.3,84.68
more,84.68,85.0
more,85.0,85.28
gaming,85.28,85.52
around,85.52,85.92
the,85.92,86.34
city,86.34,86.52
well,87.03999999999999,87.32
you,87.36,87.48
get,87.48,87.76
the,87.76,88.7
casino's,88.7,90.08
riverboat,90.08,90.48
casino's,90.48,91.22
open,91.22,91.5
you,91.68,91.68
get,91.68,92.24
all,92.24,92.6
the,92.6,93.44
pretty,93.44,93.62
much,93.62,93.84
every,93.84,94.52
store,94.52,94.76
on,94.76,94.98
the,94.98,95.14
corners,95.14,95.42
got,95.68,95.8
a,95.8,96.28
lottery,96.28,96.52
machine,96.52,97.06
or,97.06,97.68
tickets,97.68,98.1
i,100.88,101.44
think,101.44,102.0
it,102.0,102.2
is,102.2,102.36
a,102.36,102.48
good,102.48,102.6
idea,102.6,102.88
because,102.88,103.2
i,103.2,103.44
want,103.44,103.54
my,103.54,103.8
fair,103.8,104.0
share,104.0,104.28
of,104.28,104.52
money,104.52,104.72
a,105.02,105.08
lot,105.08,105.3
of,105.3,105.58
they,106.04,106.38
give,106.38,106.56
everybody,106.56,106.94
a,106.94,107.24
fair,107.24,107.48
chance,107.48,107.86
you,108.08,108.08
know,108.08,108.14
they,108.28,108.28
don't,108.28,109.22
just,109.22,109.6
minimize,109.6,110.96
it,110.96,111.32
to,111.32,111.56
one,111.56,111.78
or,111.78,112.02
two,112.02,112.88
you,113.34,113.62
know,113.62,113.96
some,114.32,114.4
of,114.4,114.56
them,114.56,114.62
have,114.62,114.86
options,114.86,115.4
and,115.4,117.04
some,117.04,117.28
of,117.28,117.5
them,117.5,117.5
don't,117.5,117.88
yeah,127.14,127.18
it's,127.46,128.08
just,128.08,128.36
like,128.36,128.74
having,128.74,129.48
alcohol,129.48,129.94
around,129.94,130.96
i,131.38,131.38
mean,131.38,131.82
gambling,131.88,132.1
is,132.1,132.48
a,132.48,132.62
lot,132.62,132.72
like,132.72,133.0
alcohol,133.0,133.32
it,133.54,133.56
can,133.56,133.72
be,133.72,134.02
a,134.02,134.18
dick,134.18,134.4
thing,134.4,134.6
it,134.6,134.76
could,134.76,135.0
screw,135.0,135.18
your,135.18,135.48
life,135.48,135.7
up,135.7,136.14
and,136.14,136.9
you'll,136.9,137.2
spend,137.2,137.44
your,137.44,137.66
last,137.66,137.96
dollar,137.96,138.22
on,138.22,138.48
it,138.48,138.6
if,138.6,138.78
you're,138.78,139.24
that,139.24,139.54
far,139.54,139.82
gone,139.82,140.34
so,141.34,141.78
pretty,141.78,142.16
much,142.16,142.48
anything,142.48,142.82
can,142.82,143.22
be,143.22,144.22
one,144.22,144.66
of,144.66,144.74
those,144.74,145.28
factors,145.28,146.72
well,152.16,152.88
most,153.0,153.26
people,153.26,153.62
think,153.62,153.92
it's,153.92,154.7
something,154.7,154.98
they,154.98,155.32
rely,155.32,155.66
on,155.66,155.94
well,156.56,156.68
the,156.88,156.88
money,156.88,157.36
getting,157.36,157.84
from,157.84,158.74
the,158.74,158.92
lottery,158.92,159.28
to,159.28,159.62
the,159.62,159.72
people,159.72,160.12
or,160.12,160.78
lottery,160.78,161.1
to,161.1,161.36
schools,161.36,161.88
on,162.74,162.92
that,162.92,163.08
issue,163.08,163.46
then,164.02,164.14
yeah,164.14,164.38
i,164.74,164.94
agree,164.94,165.12
with,165.12,165.6
the,165.6,165.84
gambling,165.84,166.12
thing,166.12,166.9
now,166.9,167.78
just,168.02,168.22
as,168.22,168.44
long,168.44,168.58
as,168.58,169.7
it's,169.7,170.34
like,170.34,170.34
social,170.34,170.86
drinking,170.86,171.36
in,171.36,172.92
a,172.92,173.04
sense,173.04,173.44
because,173.88,174.08
if,174.08,174.34
you,174.34,174.54
have,174.54,174.8
people,174.8,175.18
just,175.18,175.96
go,175.96,176.32
out,176.32,176.72
like,176.72,177.0
today,177.0,177.28
i,177.84,178.16
bought,178.16,178.36
a,178.36,178.54
one,178.54,178.64
-dollar,178.64,178.86
lottery,178.86,179.3
ticket,179.3,179.66
one,179.9,179.9
-two,179.9,180.06
bucks,180.06,180.28
off,180.28,180.52
of,180.52,180.8
it,180.8,181.84
so,182.02,182.22
i,182.22,182.34
kept,182.34,182.44
my,182.44,182.66
one,182.66,182.92
-dollar,182.92,183.16
and,183.16,183.62
got,183.62,184.14
a,184.14,184.32
one,184.32,184.46
-dollar,184.46,184.58
ad,184.58,184.82
known,184.82,185.12
yeah,190.95999999999998,191.48
there's,191.48,192.0
and,196.74,197.22
then,197.22,197.7
there's,197.7,198.02
these,198.02,198.46
little,198.46,200.14
bit,200.14,200.34
more,200.34,200.54
expensive,200.54,200.9
cards,200.9,201.44
you,201.68,201.68
buy,201.68,202.76
the,202.76,202.78
lottery,202.78,203.22
cards,203.22,203.78
one,203.94,204.06
of,204.06,204.24
them's,204.24,204.38
called,204.38,204.6
battleship,204.6,205.16
that,205.16,205.38
i've,205.38,206.14
won,206.14,206.24
a,206.24,206.72
lot,206.72,206.72
of,206.72,206.8
money,206.8,207.0
off,207.0,207.26
of,207.26,208.0
well,212.48,212.5
you,212.68,212.76
have,212.76,213.0
to,213.0,213.98
it's,213.98,214.08
just,214.08,214.3
like,214.3,214.5
bingo,214.5,214.74
numbers,214.74,215.4
and,221.0,221.56
you,221.56,222.12
it's,222.12,222.48
just,222.48,222.64
like,222.64,222.8
the,222.8,222.94
game,222.94,223.08
battleship,223.08,223.66
pretty,223.84,223.88
much,223.88,224.4
you,224.52,224.52
know,224.52,224.7
a4,224.9,225.42
a2,225.52,226.04
a7,226.04,226.4
and,228.29999999999998,228.85999999999999
well,228.85999999999999,229.42
off,229.54,229.6
of,229.6,229.7
$3,229.7,230.12
one,230.12,230.44
i've,230.7,230.98
won,230.98,231.26
probably,231.26,232.3
four,232.3,234.66
out,234.66,234.94
of,234.94,235.04
five,235.04,235.4
you,236.06,236.06
know,236.06,236.72
in,237.62,237.66
that,237.66,238.34
i,238.34,238.7
haven't,238.7,238.9
bought,238.9,239.1
that,239.1,239.36
many,239.36,239.6
of,239.6,239.9
them,239.9,239.96
but,240.32,240.32
in,240.32,240.56
that,240.56,240.84
race,240.84,241.14
right,241.14,241.56
there,241.56,241.86
four,242.08,242.14
out,242.14,242.34
of,242.34,242.4
five's,242.4,242.76
not,242.76,242.88
too,242.88,243.12
bad,243.12,243.42
you,243.42,243.86
got,243.86,245.26
my,245.26,245.48
mom,245.48,245.74
one,245.74,246.02
on,246.02,246.24
her,246.24,246.36
birthday,246.36,246.66
she,246.92,246.92
got,246.92,247.1
$15,247.1,247.68
and,250.9,251.22
the,251.22,251.74
other,251.74,251.92
times,251.92,252.2
i,252.2,252.4
get,252.4,252.56
on,252.56,252.74
my,252.74,252.94
$3,252.94,253.68
back,253.68,255.4
or,256.02,256.32
i,256.32,256.94
won,256.94,257.0
$9,257.0,257.42
hmm,264.64,265.26
yeah,267.38,268.0
yeah,272.74,273.26
yeah,273.26,273.48
that,274.44,274.62
could,274.62,274.8
really,274.8,275.08
bite,275.08,275.32
you,275.32,275.46
in,275.46,275.58
the,275.58,275.72
back,275.72,275.94
though,275.94,276.2
winning,277.22,277.26
all,277.26,277.52
that,277.52,277.68
money,277.68,278.12
i'd,278.64,278.86
be,278.86,279.12
well,279.76,280.02
i'd,280.04,280.18
be,280.18,280.28
quite,280.28,280.74
content,280.74,281.18
with,281.18,281.44
$1,281.44,281.72
million,281.72,282.12
but,282.66,282.66
$10,282.66,283.14
million,283.14,283.58
is,283.58,284.2
kind,284.2,284.36
of,284.36,284.54
like,284.54,284.76
an,284.76,284.88
overkill,284.88,285.58
i,286.7,286.8
mean,286.8,286.96
do,286.98,287.14
you,287.14,287.18
think,287.18,287.48
anybody,287.48,287.84
in,287.84,288.1
this,288.1,288.26
town,288.26,288.52
has,288.52,288.8
$10,288.8,289.04
million,289.04,289.42
well,290.46,290.62
maybe,290.98,291.24
a,291.24,291.46
couple,291.46,291.68
of,291.68,291.88
people,291.88,292.1
yeah,292.46,292.48
yeah,296.58000000000004,297.16
probably,297.16,297.74
have,297.74,297.98
to,297.98,298.0
go,298.0,298.12
to,298.12,298.34
dublin,298.34,298.66
or,298.66,299.72
you,299.72,299.72
know,299.72,300.12
worthing,300.24,300.48
to,300.48,300.76
somewhere,300.76,301.14
around,301.14,301.42
there,301.42,301.54
to,301.54,301.76
find,301.76,302.28
a,302.28,302.76
couple,302.76,302.8
millionaires,302.8,304.56
but,308.18,308.76
i,308.76,308.76
guess,308.76,309.0
you,309.0,309.18
could,309.18,309.5
get,309.5,309.5
two,309.5,309.66
left,309.66,310.02
hmm,310.72,311.16
yeah,311.7,311.9
i'd,312.22,312.28
give,312.28,312.36
some,312.36,312.88
charity,312.88,313.32
and,313.32,313.98
keep,313.98,314.16
carry,314.16,314.46
your,314.46,314.72
bills,314.72,314.92
and,316.02,316.06
probably,316.06,316.22
go,316.22,316.44
on,316.44,316.52
that,316.52,316.62
vacation,316.62,317.02
you've,317.02,317.34
been,317.34,317.44
dying,317.44,317.7
for,317.7,318.22
like,318.84,318.92
you're,318.92,319.18
making,319.18,319.34
my,319.34,319.7
brain,319.7,320.18
water,320.18,320.56
here,320.56,320.8
ever,320.8,321.28
australia,321.28,322.08
well,326.50000000000006,327.02000000000004
yeah,327.02000000000004,327.54
it's,328.18,328.5
kind,328.5,328.58
of,328.58,328.7
like,328.7,328.88
making,328.88,329.02
your,329.02,329.28
mouth,329.28,329.42
water,329.42,329.68
when,329.68,329.88
you,329.88,330.04
see,330.04,330.26
food,330.26,332.62
yeah,336.48,337.0
and,337.0,337.06
this,337.06,337.24
is,337.24,337.42
my,337.42,337.6
consent,337.6,338.08
to,338.08,338.38
let,338.38,338.52
you,338.52,338.68
use,338.68,338.94
that,338.94,339.34
yeah,343.18,343.7
oh,346.32,346.84
okay,347.5,348.0
sorry,348.96000000000004,349.48
so,351.93999999999994,352.47999999999996
you,352.47999999999996,353.02
went,353.02,353.26
to,353.26,353.4
school,353.4,353.52
in,353.52,353.76
columbus,353.76,354.26
mm,354.72,354.78
-hmm,354.78,355.86
so,357.62,358.16
what,358.28,358.34
school,358.34,358.58
did,358.58,358.76
you,358.76,358.78
go,358.78,358.88
to,358.88,359.06
i,360.04,360.42
went,360.42,360.68
to,360.68,361.4
a,361.4,361.66
lot,361.66,361.66
of,361.66,362.86
middle,362.86,363.62
school,363.62,364.02
i,364.06,364.06
went,364.06,365.78
to,365.78,366.06
clinton,366.06,366.42
and,366.42,367.18
indianola,367.18,367.86
high,368.02,368.28
school,368.28,368.56
i,368.66,368.66
went,368.66,368.82
to,368.82,369.0
brookhaven,369.0,369.48
and,369.48,370.12
fort,370.12,370.3
hayes,370.3,371.48
wow,374.08,374.24
there,374.42,374.52
were,374.52,375.34
yeah,375.34,375.78
one's,376.02,376.36
an,376.36,376.46
alternative,376.46,376.82
school,376.82,377.36
and,377.36,377.56
the,377.56,377.66
other,377.66,377.78
one's,377.78,378.14
just,378.14,378.42
a,378.42,378.8
regular,378.8,379.08
trashy,379.08,379.6
public,379.6,379.9
school,379.9,380.7
well,386.88,386.88
this,387.36,387.58
is,387.58,387.9
about,387.9,388.28
giving,388.28,388.54
opinions,388.54,389.12
and,389.6,389.66
my,389.66,389.76
opinion,389.76,390.1
about,390.1,390.36
the,390.36,390.5
columbus,390.5,390.72
public,390.72,391.06
school,391.06,391.38
system,391.38,391.78
really,391.78,392.28
isn't,392.28,393.06
good,393.06,393.68
why,394.12,394.12
is,394.12,394.28
that,394.28,395.12
well,395.18,395.48
because,395.56,395.82
i've,395.82,396.12
been,396.12,396.18
in,396.18,396.44
public,396.44,396.62
schools,396.62,397.04
all,397.04,397.22
my,397.22,397.34
life,397.34,397.68
and,397.76,397.92
i,397.92,397.94
should,397.94,398.16
be,398.16,398.82
first,398.82,399.08
to,399.08,399.3
know,399.3,399.46
that,399.46,399.74
there's,399.74,401.4
a,401.4,401.72
lot,401.72,401.86
of,401.86,402.88
favoritism,402.88,403.78
you,403.78,403.78
know,403.78,405.68
some,406.66,407.08
teachers,407.08,407.44
will,407.44,407.86
teach,407.86,408.2
one,408.2,408.64
but,408.9,408.92
not,408.92,409.18
teach,409.18,409.48
the,409.48,409.76
other,409.76,410.7
well,411.8,412.48
yeah,413.52,413.72
teach,414.06,414.16
one,414.16,414.48
person,414.48,415.02
one,415.02,415.54
thing,415.54,416.02
and,416.68,416.68
not,416.68,417.06
teach,417.06,417.3
the,417.3,417.48
other,417.48,417.66
person,417.66,417.98
that,417.98,418.78
kind,419.58,419.74
of,419.74,420.78
let,421.7,421.92
me,421.92,422.04
see,422.04,422.4
here,422.4,423.58
and,424.28,424.36
given,424.36,424.52
an,424.52,424.7
example,424.7,425.08
there's,425.44,426.7
a,426.7,426.7
there's,426.7,426.92
a,426.92,427.1
school,427.1,427.34
that,427.34,427.6
they,427.6,427.82
showed,427.82,427.96
on,427.96,428.18
2020,428.18,428.84
somewhere,429.76,430.18
out,430.18,430.58
west,430.58,431.22
i,431.8,431.88
believe,431.88,431.9
it's,431.9,432.24
nevada,432.24,432.58
or,432.58,432.96
somewhere,432.96,433.36
and,434.44,434.54
they,434.54,434.62
said,434.62,435.0
that,435.0,436.08
these,436.08,436.38
teachers,436.38,437.96
have,437.96,438.54
the,438.54,438.82
highest,438.82,439.16
rating,439.16,439.9
among,439.9,440.92
many,440.92,441.46
other,441.46,441.72
teachers,441.72,442.16
in,442.16,442.54
the,442.54,442.68
nation,442.68,442.96
because,442.96,443.38
of,443.38,443.6
their,443.6,443.9
actual,443.9,444.44
sitting,444.44,445.32
down,445.32,445.86
hands,445.98,446.2
on,446.2,446.98
critiquing,447.0,447.62
these,447.62,447.86
children,447.86,448.42
ex,451.9,452.26
-girlfriend,452.26,452.7
of,452.7,453.0
mine,453.0,453.56
she,454.66,454.66
was,454.66,455.36
pretty,455.36,455.82
much,455.82,456.84
i,456.84,457.24
wouldn't,457.24,457.62
put,457.62,457.82
her,457.82,458.04
borderline,458.04,458.56
illiterate,458.56,459.32
but,459.52,459.72
she,459.72,460.18
didn't,460.18,460.58
know,460.58,460.7
how,460.7,460.8
to,460.8,461.0
read,461.0,461.24
or,461.24,461.52
write,461.52,461.74
